Sum of Valeur,,
Zone,Produit,Total
Égypte,Blé,9460
,Maïs,7957
,Orge,130
,Riz (Eq Blanchi),3818
,Seigle,90
,Sorgho,762
Émirats arabes unis,Blé,0
,Maïs,1
,Orge,0
,Sorgho,54
Équateur,Avoine,1
,Blé,6
,"Céréales, Autres",1
,Maïs,1543
,Orge,21
,Riz (Eq Blanchi),1011
,Seigle,0
,Sorgho,15
États-Unis d'Amérique,Avoine,1016
,Blé,57967
,"Céréales, Autres",81
,Maïs,353699
,Millet,418
,Orge,4683
,Riz (Eq Blanchi),5745
,Seigle,195
,Sorgho,9882
Éthiopie,Avoine,60
,Blé,4039
,"Céréales, Autres",4672
,Maïs,6674
,Millet,807
,Orge,1933
,Riz (Eq Blanchi),123
,Sorgho,4338
Afghanistan,Blé,5169
,Maïs,312
,Millet,13
,Orge,514
,Riz (Eq Blanchi),342
Afrique du Sud,Avoine,28
,Blé,1870
,"Céréales, Autres",19
,Maïs,11811
,Millet,7
,Orge,268
,Riz (Eq Blanchi),3
,Seigle,2
,Sorgho,147
Albanie,Avoine,27
,Blé,294
,Maïs,372
,Orge,7
,Riz (Eq Blanchi),0
,Seigle,3
,Sorgho,0
Algérie,Avoine,113
,Blé,3299
,"Céréales, Autres",0
,Maïs,1
,Orge,1499
,Riz (Eq Blanchi),0
,Sorgho,2
Allemagne,Avoine,628
,Blé,25019
,"Céréales, Autres",2690
,Maïs,4387
,Orge,10344
,Seigle,4689
Angola,Blé,4
,Maïs,1549
,Millet,39
,Riz (Eq Blanchi),25
,Sorgho,46
Antigua-et-Barbuda,Maïs,0
Arabie saoudite,Blé,660
,Maïs,95
,Millet,4
,Orge,11
,Riz (Eq Blanchi),0
,Sorgho,110
Argentine,Avoine,445
,Blé,9315
,"Céréales, Autres",72
,Maïs,32119
,Millet,11
,Orge,4705
,Riz (Eq Blanchi),1043
,Seigle,52
,Sorgho,3636
Arménie,Avoine,5
,Blé,312
,"Céréales, Autres",17
,Maïs,21
,Orge,189
,Seigle,1
Australie,Avoine,1121
,Blé,22856
,"Céréales, Autres",177
,Maïs,507
,Millet,40
,Orge,7472
,Riz (Eq Blanchi),774
,Seigle,35
,Sorgho,2230
Autriche,Avoine,87
,Blé,1598
,"Céréales, Autres",562
,Maïs,1639
,Millet,8
,Orge,734
,Seigle,235
,Sorgho,10
Azerbaïdjan,Avoine,3
,Blé,1893
,Maïs,208
,Millet,0
,Orge,799
,Riz (Eq Blanchi),3
,Seigle,0
,Sorgho,0
Îles Salomon,Riz (Eq Blanchi),3
Bélarus,Avoine,351
,Blé,2101
,"Céréales, Autres",1339
,Maïs,1120
,Orge,1673
,Seigle,648
Bénin,"Céréales, Autres",1
,Maïs,1346
,Millet,23
,Riz (Eq Blanchi),138
,Sorgho,115
Bahamas,Maïs,1
Bangladesh,Blé,1255
,Maïs,1485
,Millet,13
,Orge,0
,Riz (Eq Blanchi),34350
,Sorgho,0
Barbade,Maïs,0
Belgique,Avoine,21
,Blé,1804
,"Céréales, Autres",58
,Maïs,827
,Orge,386
,Seigle,3
Belize,Maïs,72
,Riz (Eq Blanchi),14
,Sorgho,20
Bolivie (État plurinational de),Avoine,6
,Blé,209
,"Céréales, Autres",64
,Maïs,915
,Orge,46
,Riz (Eq Blanchi),295
,Seigle,0
,Sorgho,821
Bosnie-Herzégovine,Avoine,28
,Blé,265
,"Céréales, Autres",48
,Maïs,799
,Orge,71
,Seigle,12
Botswana,Blé,0
,"Céréales, Autres",4
,Maïs,4
,Millet,1
,Sorgho,10
Brésil,Avoine,479
,Blé,5718
,"Céréales, Autres",184
,Maïs,80538
,Orge,318
,Riz (Eq Blanchi),7843
,Seigle,4
,Sorgho,2073
Brunéi Darussalam,Riz (Eq Blanchi),1
Bulgarie,Avoine,36
,Blé,5505
,"Céréales, Autres",45
,Maïs,2739
,Millet,4
,Orge,729
,Riz (Eq Blanchi),37
,Seigle,29
,Sorgho,12
Burkina Faso,"Céréales, Autres",20
,Maïs,1585
,Millet,1079
,Riz (Eq Blanchi),204
,Sorgho,1880
Côte d'Ivoire,"Céréales, Autres",17
,Maïs,661
,Millet,50
,Riz (Eq Blanchi),1290
,Sorgho,50
Cabo Verde,Maïs,6
Cambodge,Maïs,927
,Riz (Eq Blanchi),6263
Cameroun,Blé,1
,Maïs,1647
,Millet,97
,Riz (Eq Blanchi),129
,Sorgho,1150
Canada,Avoine,3906
,Blé,37530
,"Céréales, Autres",316
,Maïs,14194
,Orge,10237
,Seigle,223
Chili,Avoine,680
,Blé,1475
,"Céréales, Autres",116
,Maïs,1519
,Orge,80
,Riz (Eq Blanchi),87
,Seigle,4
Chine - RAS de Hong-Kong,Riz (Eq Blanchi),0
"Chine, continentale",Avoine,614
,Blé,121926
,"Céréales, Autres",1248
,Maïs,218489
,Millet,1746
,Orge,1699
,Riz (Eq Blanchi),135809
,Seigle,650
,Sorgho,2892
"Chine, Taiwan Province de",Blé,4
,"Céréales, Autres",1
,Maïs,135
,Millet,1
,Orge,0
,Riz (Eq Blanchi),1063
,Sorgho,3
Chypre,Avoine,1
,Blé,15
,Orge,36
Colombie,Avoine,5
,Blé,8
,Maïs,1779
,Orge,13
,Riz (Eq Blanchi),1367
,Sorgho,44
Congo,"Céréales, Autres",2
,Maïs,14
,Millet,14
,Riz (Eq Blanchi),1
Costa Rica,Maïs,14
,Riz (Eq Blanchi),150
,Sorgho,0
Croatie,Avoine,60
,Blé,999
,"Céréales, Autres",50
,Maïs,1874
,Millet,0
,Orge,201
,Seigle,3
,Sorgho,1
Cuba,Maïs,426
,Riz (Eq Blanchi),449
,Sorgho,6
Danemark,Avoine,313
,Blé,4145
,"Céréales, Autres",109
,Maïs,76
,Orge,3950
,Seigle,527
Djibouti,Maïs,0
Dominique,Maïs,0
El Salvador,Maïs,867
,Riz (Eq Blanchi),24
,Sorgho,141
Espagne,Avoine,958
,Blé,7745
,"Céréales, Autres",472
,Maïs,4888
,Millet,1
,Orge,10005
,Riz (Eq Blanchi),585
,Seigle,384
,Sorgho,45
Estonie,Avoine,85
,Blé,407
,"Céréales, Autres",21
,Orge,441
,Seigle,22
Eswatini,Blé,1
,Maïs,119
,Riz (Eq Blanchi),0
,Sorgho,0
Fédération de Russie,Avoine,4932
